City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
199,Portland,45.5234,-122.6762,47.08,90,90,1.01,US,thunderstorm,2021-11-07 01:02:29
200,Mount Gambier,-37.8333,140.7667,61.36,44,17,5.84,AU,few clouds,2021-11-07 01:06:28
201,Verin,41.9415,-7.4381,42.57,91,13,2.95,ES,few clouds,2021-11-07 01:06:28
202,Ribeira Grande,38.5167,-28.7,69.73,88,92,27.51,PT,overcast clouds,2021-11-07 01:02:31
203,Fare,-16.7,-151.0167,79.77,67,100,2.57,PF,overcast clouds,2021-11-07 01:06:28
204,Teahupoo,-17.8333,-149.2667,76.96,77,94,7.16,PF,light rain,2021-11-07 01:06:29
205,Rocha,-34.4833,-54.3333,50.45,87,16,1.34,UY,few clouds,2021-11-07 01:06:29
206,Gornyak,50.9942,81.4661,20.79,66,100,14.36,RU,overcast clouds,2021-11-07 01:06:30
207,Sal Rei,16.1833,-22.9167,75.76,72,100,14.74,CV,overcast clouds,2021-11-07 01:06:30
208,Hami,42.8,93.45,24.6,33,0,1.83,CN,clear sky,2021-11-07 01:06:30
209,Arcachon,44.5875,-1.0519,39.52,100,75,0.0,FR,broken clouds,2021-11-07 01:06:31
210,Saint-Philippe,-21.3585,55.7679,69.39,81,38,8.93,RE,scattered clouds,2021-11-07 01:06:31
211,Kavieng,-2.5744,150.7967,85.8,69,20,15.1,PG,light rain,2021-11-07 01:06:31
212,Vila Velha,-20.3297,-40.2925,73.94,82,90,1.01,BR,light intensity drizzle,2021-11-07 01:06:32
213,Campbeltown,55.4258,-5.6076,50.05,69,96,33.53,GB,overcast clouds,2021-11-07 01:06:32
214,Mar Del Plata,-38.0023,-57.5575,54.09,77,100,1.01,AR,overcast clouds,2021-11-07 01:06:32
215,La Ronge,55.1001,-105.2842,37.62,100,90,4.61,CA,overcast clouds,2021-11-07 01:06:33
216,Vikhorevka,56.1201,101.1636,26.19,86,100,10.92,RU,overcast clouds,2021-11-07 01:06:33
217,Yar-Sale,66.8333,70.8333,34.12,98,100,16.22,RU,overcast clouds,2021-11-07 01:06:33
